Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;38,346.00;6,575.00;2,076.75
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;37,777.25;4,885.25;1,767.75
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;36,939.75;3,830.25;3,050.25
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;35,932.50;5,459.75;3,704.00
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;35,486.25;5,583.75;3,800.75
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;35,647.25;5,510.75;4,059.50
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;35,231.75;5,339.25;4,248.25
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;36,172.25;5,568.75;3,287.75
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;36,829.25;6,777.75;2,772.00
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;39,226.50;7,255.00;1,903.50
Jan 1, 2023 10:00 AM;Jan 1, 2023 11:00 AM;41,005.50;7,014.25;1,726.00
Jan 1, 2023 11:00 AM;Jan 1, 2023 12:00 PM;43,703.00;8,482.75;1,292.00
Jan 1, 2023 12:00 PM;Jan 1, 2023 1:00 PM;44,205.75;10,091.50;1,194.75
Jan 1, 2023 1:00 PM;Jan 1, 2023 2:00 PM;43,621.75;11,381.00;1,590.50
Jan 1, 2023 2:00 PM;Jan 1, 2023 3:00 PM;43,231.50;11,175.75;1,829.75
Jan 1, 2023 3:00 PM;Jan 1, 2023 4:00 PM;43,691.75;12,976.50;1,021.75
Jan 1, 2023 4:00 PM;Jan 1, 2023 5:00 PM;45,668.75;18,010.75;261.25
Jan 1, 2023 5:00 PM;Jan 1, 2023 6:00 PM;48,732.00;22,364.50;183.25
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;48,882.00;23,160.75;387.25
Jan 1, 2023 7:00 PM;Jan 1, 2023 8:00 PM;47,468.50;22,296.75;494.00
Jan 1, 2023 8:00 PM;Jan 1, 2023 9:00 PM;44,883.50;19,729.25;632.50
Jan 1, 2023 9:00 PM;Jan 1, 2023 10:00 PM;43,222.75;17,694.75;624.25
Jan 1, 2023 10:00 PM;Jan 1, 2023 11:00 PM;42,278.00;18,653.50;524.25
Jan 1, 2023 11:00 PM;Jan 2, 2023 12:00 AM;39,092.75;16,128.75;1,041.00
Jan 2, 2023 12:00 AM;Jan 2, 2023 1:00 AM;36,789.75;15,305.00;2,814.50
Jan 2, 2023 1:00 AM;Jan 2, 2023 2:00 AM;35,423.75;14,555.75;3,575.25
Jan 2, 2023 2:00 AM;Jan 2, 2023 3:00 AM;35,284.25;13,112.25;3,610.75
Jan 2, 2023 3:00 AM;Jan 2, 2023 4:00 AM;36,058.50;12,597.00;4,576.25
Jan 2, 2023 4:00 AM;Jan 2, 2023 5:00 AM;37,796.00;12,451.75;4,343.25
Jan 2, 2023 5:00 AM;Jan 2, 2023 6:00 AM;40,899.00;14,261.50;4,373.25
Jan 2, 2023 6:00 AM;Jan 2, 2023 7:00 AM;47,069.50;18,239.75;2,448.00
Jan 2, 2023 7:00 AM;Jan 2, 2023 8:00 AM;52,317.25;21,874.25;934.25
Jan 2, 2023 8:00 AM;Jan 2, 2023 9:00 AM;56,231.00;23,614.00;900.50
Jan 2, 2023 9:00 AM;Jan 2, 2023 10:00 AM;57,444.75;22,458.00;647.50
Jan 2, 2023 10:00 AM;Jan 2, 2023 11:00 AM;59,241.00;23,173.25;320.00
Jan 2, 2023 11:00 AM;Jan 2, 2023 12:00 PM;60,654.50;23,300.00;63.25
Jan 2, 2023 12:00 PM;Jan 2, 2023 1:00 PM;61,571.75;24,210.75;396.75
Jan 2, 2023 1:00 PM;Jan 2, 2023 2:00 PM;60,448.00;24,548.25;421.25
Jan 2, 2023 2:00 PM;Jan 2, 2023 3:00 PM;59,188.25;25,451.50;314.50
Jan 2, 2023 3:00 PM;Jan 2, 2023 4:00 PM;59,014.00;28,716.50;175.00
Jan 2, 2023 4:00 PM;Jan 2, 2023 5:00 PM;59,885.50;31,066.50;194.25
Jan 2, 2023 5:00 PM;Jan 2, 2023 6:00 PM;61,094.00;32,178.50;233.50
Jan 2, 2023 6:00 PM;Jan 2, 2023 7:00 PM;60,650.25;31,437.50;247.00
Jan 2, 2023 7:00 PM;Jan 2, 2023 8:00 PM;59,584.00;30,794.25;156.75
Jan 2, 2023 8:00 PM;Jan 2, 2023 9:00 PM;56,001.00;28,068.50;677.75
Jan 2, 2023 9:00 PM;Jan 2, 2023 10:00 PM;53,154.25;26,360.50;506.25
Jan 2, 2023 10:00 PM;Jan 2, 2023 11:00 PM;50,189.50;24,675.75;237.50
Jan 2, 2023 11:00 PM;Jan 3, 2023 12:00 AM;47,103.50;22,545.75;1,312.50
Jan 3, 2023 12:00 AM;Jan 3, 2023 1:00 AM;44,238.25;20,871.25;3,337.75
Jan 3, 2023 1:00 AM;Jan 3, 2023 2:00 AM;42,383.50;20,188.75;3,189.25
Jan 3, 2023 2:00 AM;Jan 3, 2023 3:00 AM;41,816.50;21,104.50;5,284.00
