Start date;End date;Volume activated (+) [MWh] Calculated resolutions;Volume activated (-) [MWh] Calculated resolutions;Activation price (+) [€/MWh] Calculated resolutions;Activation price (-) [€/MWh] Calculated resolutions;Volume procured (+) [MW] Calculated resolutions;Volume procured (-) [MW] Calculated resolutions;Procurement price (+) [€/MW] Calculated resolutions;Procurement price (-) [€/MW] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;39.75;151.00;-;-;1,941.00;2,029.00;2.08;30.08
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;225.00;0.00;-;-;1,941.00;2,029.00;2.08;30.08
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;0.25;234.75;-;-;1,941.00;2,029.00;2.08;30.08
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;0.00;243.50;-;-;1,941.00;2,029.00;2.08;30.08
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;2.75;109.75;-;-;1,944.00;1,946.00;2.80;29.12
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;0.00;107.50;-;-;1,944.00;1,946.00;2.80;29.12
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;0.00;354.25;-;-;1,944.00;1,946.00;2.80;29.12
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;0.00;542.75;-;-;1,944.00;1,946.00;2.80;29.12
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;0.00;725.25;-;-;1,951.00;2,225.00;4.56;12.24
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;0.00;367.00;-;-;1,951.00;2,225.00;4.56;12.24
Jan 1, 2023 10:00 AM;Jan 1, 2023 11:00 AM;0.00;381.00;-;-;1,951.00;2,225.00;4.56;12.24
Jan 1, 2023 11:00 AM;Jan 1, 2023 12:00 PM;0.50;244.50;-;-;1,951.00;2,225.00;4.56;12.24
Jan 1, 2023 12:00 PM;Jan 1, 2023 1:00 PM;9.00;80.25;-;-;2,435.00;2,199.00;2.12;11.12
Jan 1, 2023 1:00 PM;Jan 1, 2023 2:00 PM;7.50;240.50;-;-;2,214.00;2,219.00;2.12;11.12
Jan 1, 2023 2:00 PM;Jan 1, 2023 3:00 PM;199.00;416.25;-;-;1,983.00;2,219.00;2.12;11.12
Jan 1, 2023 3:00 PM;Jan 1, 2023 4:00 PM;96.75;21.50;-;-;1,980.00;2,275.00;2.12;11.12
Jan 1, 2023 4:00 PM;Jan 1, 2023 5:00 PM;171.00;79.50;-;-;1,988.00;2,237.00;9.28;8.76
Jan 1, 2023 5:00 PM;Jan 1, 2023 6:00 PM;270.25;35.00;-;-;1,988.00;2,075.00;9.28;8.76
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;0.00;376.00;-;-;1,988.00;2,075.00;9.28;8.76
Jan 1, 2023 7:00 PM;Jan 1, 2023 8:00 PM;0.00;234.25;-;-;1,988.00;2,075.00;9.28;8.76
Jan 1, 2023 8:00 PM;Jan 1, 2023 9:00 PM;10.25;26.25;-;-;1,944.00;2,076.00;7.44;11.96
Jan 1, 2023 9:00 PM;Jan 1, 2023 10:00 PM;0.75;28.50;-;-;1,944.00;2,076.00;7.44;11.96
Jan 1, 2023 10:00 PM;Jan 1, 2023 11:00 PM;76.50;1.75;-;-;1,944.00;2,076.00;7.44;11.96
Jan 1, 2023 11:00 PM;Jan 2, 2023 12:00 AM;30.25;176.75;-;-;1,948.00;2,055.00;7.44;11.96
Jan 2, 2023 12:00 AM;Jan 2, 2023 1:00 AM;0.00;433.00;-;-;2,341.00;1,946.00;2.28;27.24
Jan 2, 2023 1:00 AM;Jan 2, 2023 2:00 AM;0.00;455.00;-;-;2,332.00;1,945.00;2.28;27.24
Jan 2, 2023 2:00 AM;Jan 2, 2023 3:00 AM;0.00;252.50;-;-;1,950.00;1,925.00;2.28;27.24
Jan 2, 2023 3:00 AM;Jan 2, 2023 4:00 AM;0.00;274.25;-;-;2,344.00;1,962.00;2.28;27.24
Jan 2, 2023 4:00 AM;Jan 2, 2023 5:00 AM;0.00;258.50;-;-;2,120.00;2,018.00;3.84;25.52
Jan 2, 2023 5:00 AM;Jan 2, 2023 6:00 AM;0.00;486.00;-;-;2,120.00;2,018.00;3.84;25.52
Jan 2, 2023 6:00 AM;Jan 2, 2023 7:00 AM;0.00;763.00;-;-;2,119.00;2,018.00;3.84;25.52
Jan 2, 2023 7:00 AM;Jan 2, 2023 8:00 AM;0.00;548.75;-;-;2,120.00;2,018.00;3.84;25.52
Jan 2, 2023 8:00 AM;Jan 2, 2023 9:00 AM;0.00;561.25;-;-;2,153.00;2,101.00;6.16;8.24
Jan 2, 2023 9:00 AM;Jan 2, 2023 10:00 AM;52.75;96.75;-;-;2,183.00;2,185.00;6.16;8.24
Jan 2, 2023 10:00 AM;Jan 2, 2023 11:00 AM;23.25;2.00;-;-;2,193.00;2,176.00;6.16;8.24
Jan 2, 2023 11:00 AM;Jan 2, 2023 12:00 PM;0.00;395.75;-;-;2,207.00;2,124.00;6.16;8.24
Jan 2, 2023 12:00 PM;Jan 2, 2023 1:00 PM;7.50;107.75;-;-;2,348.00;2,091.00;3.48;7.48
Jan 2, 2023 1:00 PM;Jan 2, 2023 2:00 PM;0.00;61.25;-;-;2,337.00;2,116.00;3.48;7.48
Jan 2, 2023 2:00 PM;Jan 2, 2023 3:00 PM;0.00;301.25;-;-;2,347.00;2,116.00;3.48;7.48
Jan 2, 2023 3:00 PM;Jan 2, 2023 4:00 PM;38.50;16.75;-;-;2,378.00;2,116.00;3.48;7.48
Jan 2, 2023 4:00 PM;Jan 2, 2023 5:00 PM;9.50;135.00;-;-;1,985.00;2,278.00;12.68;5.80
Jan 2, 2023 5:00 PM;Jan 2, 2023 6:00 PM;0.00;429.75;-;-;1,977.00;2,278.00;12.68;5.80
Jan 2, 2023 6:00 PM;Jan 2, 2023 7:00 PM;0.00;433.50;-;-;1,986.00;2,278.00;12.68;5.80
Jan 2, 2023 7:00 PM;Jan 2, 2023 8:00 PM;0.00;164.50;-;-;1,985.00;2,277.00;12.68;5.80
Jan 2, 2023 8:00 PM;Jan 2, 2023 9:00 PM;0.00;417.50;-;-;2,096.00;2,091.00;9.24;9.40
Jan 2, 2023 9:00 PM;Jan 2, 2023 10:00 PM;12.25;87.00;-;-;2,096.00;2,098.00;9.24;9.40
Jan 2, 2023 10:00 PM;Jan 2, 2023 11:00 PM;1.75;35.75;-;-;2,095.00;2,103.00;9.24;9.40
Jan 2, 2023 11:00 PM;Jan 3, 2023 12:00 AM;0.00;298.25;-;-;2,112.00;2,103.00;9.24;9.40
Jan 3, 2023 12:00 AM;Jan 3, 2023 1:00 AM;0.00;354.50;-;-;2,125.00;2,147.00;2.72;22.72
