Start date;End date;Volume (+) [MWh] Calculated resolutions;Volume (-) [MWh] Calculated resolutions;Price [€/MWh] Calculated resolutions;Net income [€] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;-;-;-7.71;42,307.63
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;-;-;231.47;42,307.63
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;-;-;-77.11;42,307.63
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;-;-;-67.98;42,307.63
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;-;-;8.53;42,307.63
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;-;-;-32.62;42,307.63
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;-;-;-63.06;42,307.63
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;-;-;-287.28;42,307.63
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;-;-;-202.70;42,307.63
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;-;-;-140.68;42,307.63
Jan 1, 2023 10:00 AM;Jan 1, 2023 11:00 AM;-;-;-73.52;42,307.63
Jan 1, 2023 11:00 AM;Jan 1, 2023 12:00 PM;-;-;-60.48;42,307.63
Jan 1, 2023 12:00 PM;Jan 1, 2023 1:00 PM;-;-;36.39;42,307.63
Jan 1, 2023 1:00 PM;Jan 1, 2023 2:00 PM;-;-;-54.25;42,307.63
Jan 1, 2023 2:00 PM;Jan 1, 2023 3:00 PM;-;-;-863.41;42,307.63
Jan 1, 2023 3:00 PM;Jan 1, 2023 4:00 PM;-;-;-5.46;42,307.63
Jan 1, 2023 4:00 PM;Jan 1, 2023 5:00 PM;-;-;9.93;42,307.63
Jan 1, 2023 5:00 PM;Jan 1, 2023 6:00 PM;-;-;145.02;42,307.63
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;-;-;-101.65;42,307.63
Jan 1, 2023 7:00 PM;Jan 1, 2023 8:00 PM;-;-;-76.25;42,307.63
Jan 1, 2023 8:00 PM;Jan 1, 2023 9:00 PM;-;-;175.23;42,307.63
Jan 1, 2023 9:00 PM;Jan 1, 2023 10:00 PM;-;-;70.51;42,307.63
Jan 1, 2023 10:00 PM;Jan 1, 2023 11:00 PM;-;-;203.33;42,307.63
Jan 1, 2023 11:00 PM;Jan 2, 2023 12:00 AM;-;-;-37.42;42,307.63
Jan 2, 2023 12:00 AM;Jan 2, 2023 1:00 AM;-;-;-39.92;42,307.63
Jan 2, 2023 1:00 AM;Jan 2, 2023 2:00 AM;-;-;-95.40;42,307.63
Jan 2, 2023 2:00 AM;Jan 2, 2023 3:00 AM;-;-;-144.33;42,307.63
Jan 2, 2023 3:00 AM;Jan 2, 2023 4:00 AM;-;-;-52.33;42,307.63
Jan 2, 2023 4:00 AM;Jan 2, 2023 5:00 AM;-;-;-58.76;42,307.63
Jan 2, 2023 5:00 AM;Jan 2, 2023 6:00 AM;-;-;-128.18;42,307.63
Jan 2, 2023 6:00 AM;Jan 2, 2023 7:00 AM;-;-;-208.46;42,307.63
Jan 2, 2023 7:00 AM;Jan 2, 2023 8:00 AM;-;-;-209.75;42,307.63
