Start date;End date;Net export [MWh] Calculated resolutions;Netherlands (export) [MWh] Calculated resolutions;Netherlands (import) [MWh] Calculated resolutions;Switzerland (export) [MWh] Calculated resolutions;Switzerland (import) [MWh] Calculated resolutions;Denmark (export) [MWh] Calculated resolutions;Denmark (import) [MWh] Calculated resolutions;Czech Republic (export) [MWh] Calculated resolutions;Czech Republic (import) [MWh] Calculated resolutions;Luxembourg (export) [MWh] Calculated resolutions;Luxembourg (import) [MWh] Calculated resolutions;Sweden (export) [MWh] Calculated resolutions;Sweden (import) [MWh] Calculated resolutions;Austria (export) [MWh] Calculated resolutions;Austria (import) [MWh] Calculated resolutions;France (export) [MWh] Calculated resolutions;France (import) [MWh] Calculated resolutions;Poland (export) [MWh] Calculated resolutions;Poland (import) [MWh] Calculated resolutions;Norway (export) [MWh] Calculated resolutions;Norway (import) [MWh] Calculated resolutions;Belgium (export) [MWh] Calculated resolutions;Belgium (import) [MWh] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;12,001.75;1,115.50;-931.75;2,135.25;-2.25;2,606.25;-0.50;1,393.00;-845.00;376.50;0.00;469.00;0.00;2,393.75;-79.75;861.00;-4.00;1,065.00;0.00;1,273.25;0.00;176.50;0.00
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;14,244.25;1,442.25;-15.75;2,526.50;-88.00;2,315.00;0.00;1,540.00;-802.00;379.00;0.00;506.00;0.00;2,603.25;-45.00;2,008.00;0.00;1,173.00;0.00;1,289.00;0.00;0.00;-587.00
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;13,897.50;1,452.25;-1,032.00;2,263.50;-41.00;2,596.25;0.00;1,526.00;-898.00;182.50;0.00;506.00;0.00;2,392.50;-61.75;1,970.00;0.00;1,038.00;0.00;1,298.00;0.00;705.25;0.00
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;12,277.25;1,289.25;-1,317.50;2,180.00;-3.00;2,732.75;0.00;1,374.00;-871.00;113.75;0.00;506.00;0.00;2,298.25;-68.75;1,443.00;0.00;681.00;0.00;1,298.75;0.00;620.75;0.00
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;12,179.00;1,248.00;-1,446.00;2,447.50;-0.25;2,567.00;0.00;1,282.00;-962.00;101.25;0.00;506.00;0.00;2,357.75;-87.50;1,473.00;0.00;558.00;0.00;1,308.25;0.00;826.00;0.00
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;11,980.75;1,263.50;-1,138.50;2,381.00;0.00;2,692.50;0.00;1,195.00;-920.00;127.25;0.00;506.00;0.00;2,340.25;-76.00;1,445.00;0.00;595.00;0.00;1,319.50;0.00;250.25;0.00
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;12,058.25;1,229.50;-1,421.75;2,520.75;0.00;2,519.25;0.00;1,271.00;-902.00;47.00;0.00;506.00;0.00;2,267.75;-77.00;1,671.00;0.00;693.00;0.00;1,374.00;0.00;359.75;0.00
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;13,078.50;1,309.75;-1,105.75;2,821.25;-4.50;2,546.00;0.00;1,424.00;-906.00;80.25;0.00;506.00;0.00;2,330.75;-79.50;1,867.00;0.00;855.00;0.00;1,394.00;0.00;40.25;0.00
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;11,334.00;1,241.00;-1,021.25;2,484.00;-45.25;2,322.00;0.00;1,001.00;-1,043.00;106.75;0.00;506.00;0.00;2,017.50;-189.25;2,082.00;0.00;555.00;0.00;1,374.75;0.00;0.00;-57.25
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;12,133.50;1,059.75;-1,162.50;2,743.00;-80.00;2,555.75;0.00;973.00;-820.00;96.00;0.00;506.00;0.00;2,302.75;-95.75;2,024.00;0.00;611.00;0.00;1,356.00;0.00;65.00;-0.50
