Start date;End date;Austria [MWh] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;131.75
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;152.50
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;58.00
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;66.00
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;41.25
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;4.00
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;42.25
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;8.00
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;91.00
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;18.50
Jan 1, 2023 10:00 AM;Jan 1, 2023 11:00 AM;68.75
Jan 1, 2023 11:00 AM;Jan 1, 2023 12:00 PM;45.25
Jan 1, 2023 12:00 PM;Jan 1, 2023 1:00 PM;80.25
Jan 1, 2023 1:00 PM;Jan 1, 2023 2:00 PM;21.50
Jan 1, 2023 2:00 PM;Jan 1, 2023 3:00 PM;5.25
Jan 1, 2023 3:00 PM;Jan 1, 2023 4:00 PM;16.50
Jan 1, 2023 4:00 PM;Jan 1, 2023 5:00 PM;27.75
Jan 1, 2023 5:00 PM;Jan 1, 2023 6:00 PM;169.00
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;1.50
Jan 1, 2023 7:00 PM;Jan 1, 2023 8:00 PM;41.00
Jan 1, 2023 8:00 PM;Jan 1, 2023 9:00 PM;181.50
Jan 1, 2023 9:00 PM;Jan 1, 2023 10:00 PM;76.50
Jan 1, 2023 10:00 PM;Jan 1, 2023 11:00 PM;93.00
Jan 1, 2023 11:00 PM;Jan 2, 2023 12:00 AM;6.75
Jan 2, 2023 12:00 AM;Jan 2, 2023 1:00 AM;248.00
Jan 2, 2023 1:00 AM;Jan 2, 2023 2:00 AM;62.75
Jan 2, 2023 2:00 AM;Jan 2, 2023 3:00 AM;29.00
Jan 2, 2023 3:00 AM;Jan 2, 2023 4:00 AM;0.00
Jan 2, 2023 4:00 AM;Jan 2, 2023 5:00 AM;4.00
Jan 2, 2023 5:00 AM;Jan 2, 2023 6:00 AM;25.00
Jan 2, 2023 6:00 AM;Jan 2, 2023 7:00 AM;59.25
Jan 2, 2023 7:00 AM;Jan 2, 2023 8:00 AM;7.75
Jan 2, 2023 8:00 AM;Jan 2, 2023 9:00 AM;27.25
Jan 2, 2023 9:00 AM;Jan 2, 2023 10:00 AM;25.25
Jan 2, 2023 10:00 AM;Jan 2, 2023 11:00 AM;134.75
Jan 2, 2023 11:00 AM;Jan 2, 2023 12:00 PM;8.00
Jan 2, 2023 12:00 PM;Jan 2, 2023 1:00 PM;92.00
Jan 2, 2023 1:00 PM;Jan 2, 2023 2:00 PM;76.25
Jan 2, 2023 2:00 PM;Jan 2, 2023 3:00 PM;19.25
Jan 2, 2023 3:00 PM;Jan 2, 2023 4:00 PM;1.25
Jan 2, 2023 4:00 PM;Jan 2, 2023 5:00 PM;79.00
Jan 2, 2023 5:00 PM;Jan 2, 2023 6:00 PM;89.50
Jan 2, 2023 6:00 PM;Jan 2, 2023 7:00 PM;16.00
Jan 2, 2023 7:00 PM;Jan 2, 2023 8:00 PM;29.50
Jan 2, 2023 8:00 PM;Jan 2, 2023 9:00 PM;16.00
Jan 2, 2023 9:00 PM;Jan 2, 2023 10:00 PM;1.50
Jan 2, 2023 10:00 PM;Jan 2, 2023 11:00 PM;2.25
Jan 2, 2023 11:00 PM;Jan 3, 2023 12:00 AM;4.75
Jan 3, 2023 12:00 AM;Jan 3, 2023 1:00 AM;8.25
Jan 3, 2023 1:00 AM;Jan 3, 2023 2:00 AM;16.25
Jan 3, 2023 2:00 AM;Jan 3, 2023 3:00 AM;45.25
Jan 3, 2023 3:00 AM;Jan 3, 2023 4:00 AM;29.50
Jan 3, 2023 4:00 AM;Jan 3, 2023 5:00 AM;17.50
Jan 3, 2023 5:00 AM;Jan 3, 2023 6:00 AM;46.75
Jan 3, 2023 6:00 AM;Jan 3, 2023 7:00 AM;5.25
