Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;41,792.50;2,798.75
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;39,621.00;886.25
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;38,240.75;-293.50
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;37,205.50;-645.75
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;37,326.75;-2.50
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;36,244.00;-566.00
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;34,587.25;-1,827.00
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;34,947.25;-108.50
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;36,517.25;1,645.75
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;39,127.25;2,021.00
Jan 1, 2023 10:00 AM;Jan 1, 2023 11:00 AM;41,175.75;1,606.75
Jan 1, 2023 11:00 AM;Jan 1, 2023 12:00 PM;43,105.00;2,585.00
Jan 1, 2023 12:00 PM;Jan 1, 2023 1:00 PM;43,252.50;4,339.50
Jan 1, 2023 1:00 PM;Jan 1, 2023 2:00 PM;42,612.75;7,654.25
Jan 1, 2023 2:00 PM;Jan 1, 2023 3:00 PM;42,317.25;10,967.00
Jan 1, 2023 3:00 PM;Jan 1, 2023 4:00 PM;43,166.75;16,822.00
Jan 1, 2023 4:00 PM;Jan 1, 2023 5:00 PM;44,995.25;21,425.00
Jan 1, 2023 5:00 PM;Jan 1, 2023 6:00 PM;48,028.00;24,730.75
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;48,861.25;25,143.25
Jan 1, 2023 7:00 PM;Jan 1, 2023 8:00 PM;48,131.75;24,003.25
Jan 1, 2023 8:00 PM;Jan 1, 2023 9:00 PM;45,728.50;22,294.50
Jan 1, 2023 9:00 PM;Jan 1, 2023 10:00 PM;44,415.50;21,376.75
Jan 1, 2023 10:00 PM;Jan 1, 2023 11:00 PM;44,096.50;21,349.00
Jan 1, 2023 11:00 PM;Jan 2, 2023 12:00 AM;41,840.25;19,137.50
Jan 2, 2023 12:00 AM;Jan 2, 2023 1:00 AM;43,966.50;23,200.50
Jan 2, 2023 1:00 AM;Jan 2, 2023 2:00 AM;42,313.75;21,844.50
Jan 2, 2023 2:00 AM;Jan 2, 2023 3:00 AM;41,668.00;20,529.75
Jan 2, 2023 3:00 AM;Jan 2, 2023 4:00 AM;41,994.25;19,756.75
Jan 2, 2023 4:00 AM;Jan 2, 2023 5:00 AM;43,612.00;20,327.75
Jan 2, 2023 5:00 AM;Jan 2, 2023 6:00 AM;46,498.50;22,221.75
Jan 2, 2023 6:00 AM;Jan 2, 2023 7:00 AM;52,208.75;26,528.50
Jan 2, 2023 7:00 AM;Jan 2, 2023 8:00 AM;57,015.50;30,613.50
Jan 2, 2023 8:00 AM;Jan 2, 2023 9:00 AM;59,770.00;32,169.25
Jan 2, 2023 9:00 AM;Jan 2, 2023 10:00 AM;61,558.75;30,693.00
Jan 2, 2023 10:00 AM;Jan 2, 2023 11:00 AM;62,762.00;28,516.50
Jan 2, 2023 11:00 AM;Jan 2, 2023 12:00 PM;63,840.00;27,418.25
Jan 2, 2023 12:00 PM;Jan 2, 2023 1:00 PM;64,058.50;27,657.50
Jan 2, 2023 1:00 PM;Jan 2, 2023 2:00 PM;63,703.75;29,310.50
Jan 2, 2023 2:00 PM;Jan 2, 2023 3:00 PM;62,679.25;31,328.00
Jan 2, 2023 3:00 PM;Jan 2, 2023 4:00 PM;62,252.25;33,505.50
Jan 2, 2023 4:00 PM;Jan 2, 2023 5:00 PM;62,396.75;35,070.00
Jan 2, 2023 5:00 PM;Jan 2, 2023 6:00 PM;63,914.00;36,738.25
Jan 2, 2023 6:00 PM;Jan 2, 2023 7:00 PM;63,952.00;36,591.50
Jan 2, 2023 7:00 PM;Jan 2, 2023 8:00 PM;62,431.75;34,867.00
Jan 2, 2023 8:00 PM;Jan 2, 2023 9:00 PM;59,644.50;32,855.75
Jan 2, 2023 9:00 PM;Jan 2, 2023 10:00 PM;56,881.00;31,060.75
Jan 2, 2023 10:00 PM;Jan 2, 2023 11:00 PM;54,504.00;29,951.50
Jan 2, 2023 11:00 PM;Jan 3, 2023 12:00 AM;51,496.25;28,105.25
Jan 3, 2023 12:00 AM;Jan 3, 2023 1:00 AM;46,218.75;25,112.50
Jan 3, 2023 1:00 AM;Jan 3, 2023 2:00 AM;44,727.50;24,996.75
Jan 3, 2023 2:00 AM;Jan 3, 2023 3:00 AM;43,891.25;25,475.75
Jan 3, 2023 3:00 AM;Jan 3, 2023 4:00 AM;43,931.50;26,677.25
Jan 3, 2023 4:00 AM;Jan 3, 2023 5:00 AM;45,637.75;29,502.50
Jan 3, 2023 5:00 AM;Jan 3, 2023 6:00 AM;48,423.75;33,623.25
Jan 3, 2023 6:00 AM;Jan 3, 2023 7:00 AM;53,862.50;40,267.50
Jan 3, 2023 7:00 AM;Jan 3, 2023 8:00 AM;59,497.00;46,990.25
Jan 3, 2023 8:00 AM;Jan 3, 2023 9:00 AM;62,720.25;50,210.50
Jan 3, 2023 9:00 AM;Jan 3, 2023 10:00 AM;64,272.50;49,605.00
Jan 3, 2023 10:00 AM;Jan 3, 2023 11:00 AM;65,185.25;47,844.25
Jan 3, 2023 11:00 AM;Jan 3, 2023 12:00 PM;66,327.50;46,917.25
Jan 3, 2023 12:00 PM;Jan 3, 2023 1:00 PM;66,443.50;46,024.50
Jan 3, 2023 1:00 PM;Jan 3, 2023 2:00 PM;65,769.25;45,703.25
Jan 3, 2023 2:00 PM;Jan 3, 2023 3:00 PM;64,615.25;46,656.75
Jan 3, 2023 3:00 PM;Jan 3, 2023 4:00 PM;63,918.75;48,629.50
Jan 3, 2023 4:00 PM;Jan 3, 2023 5:00 PM;64,099.75;49,062.50
Jan 3, 2023 5:00 PM;Jan 3, 2023 6:00 PM;65,150.00;48,062.50
Jan 3, 2023 6:00 PM;Jan 3, 2023 7:00 PM;64,998.25;45,677.75
Jan 3, 2023 7:00 PM;Jan 3, 2023 8:00 PM;63,632.50;41,759.00
Jan 3, 2023 8:00 PM;Jan 3, 2023 9:00 PM;60,918.50;36,756.50
Jan 3, 2023 9:00 PM;Jan 3, 2023 10:00 PM;58,125.50;31,843.25
