Start date;End date;Volume procured [MW] Calculated resolutions;Procurement price [€/MW] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;-;34.84
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;-;34.84
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;-;34.84
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;-;34.84
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;-;35.32
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;-;35.32
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;-;35.32
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;-;35.32
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;-;20.24
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;-;20.24
Jan 1, 2023 10:00 AM;Jan 1, 2023 11:00 AM;-;20.24
Jan 1, 2023 11:00 AM;Jan 1, 2023 12:00 PM;-;20.24
Jan 1, 2023 12:00 PM;Jan 1, 2023 1:00 PM;-;17.84
Jan 1, 2023 1:00 PM;Jan 1, 2023 2:00 PM;-;17.84
Jan 1, 2023 2:00 PM;Jan 1, 2023 3:00 PM;-;17.84
Jan 1, 2023 3:00 PM;Jan 1, 2023 4:00 PM;-;17.84
Jan 1, 2023 4:00 PM;Jan 1, 2023 5:00 PM;-;15.48
Jan 1, 2023 5:00 PM;Jan 1, 2023 6:00 PM;-;15.48
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;-;15.48
Jan 1, 2023 7:00 PM;Jan 1, 2023 8:00 PM;-;15.48
Jan 1, 2023 8:00 PM;Jan 1, 2023 9:00 PM;-;14.88
Jan 1, 2023 9:00 PM;Jan 1, 2023 10:00 PM;-;14.88
Jan 1, 2023 10:00 PM;Jan 1, 2023 11:00 PM;-;14.88
Jan 1, 2023 11:00 PM;Jan 2, 2023 12:00 AM;-;14.88
Jan 2, 2023 12:00 AM;Jan 2, 2023 1:00 AM;-;28.00
Jan 2, 2023 1:00 AM;Jan 2, 2023 2:00 AM;-;28.00
Jan 2, 2023 2:00 AM;Jan 2, 2023 3:00 AM;-;28.00
Jan 2, 2023 3:00 AM;Jan 2, 2023 4:00 AM;-;28.00
Jan 2, 2023 4:00 AM;Jan 2, 2023 5:00 AM;-;23.64
Jan 2, 2023 5:00 AM;Jan 2, 2023 6:00 AM;-;23.64
Jan 2, 2023 6:00 AM;Jan 2, 2023 7:00 AM;-;23.64
Jan 2, 2023 7:00 AM;Jan 2, 2023 8:00 AM;-;23.64
Jan 2, 2023 8:00 AM;Jan 2, 2023 9:00 AM;-;12.04
Jan 2, 2023 9:00 AM;Jan 2, 2023 10:00 AM;-;12.04
Jan 2, 2023 10:00 AM;Jan 2, 2023 11:00 AM;-;12.04
Jan 2, 2023 11:00 AM;Jan 2, 2023 12:00 PM;-;12.04
Jan 2, 2023 12:00 PM;Jan 2, 2023 1:00 PM;-;9.64
Jan 2, 2023 1:00 PM;Jan 2, 2023 2:00 PM;-;9.64
Jan 2, 2023 2:00 PM;Jan 2, 2023 3:00 PM;-;9.64
Jan 2, 2023 3:00 PM;Jan 2, 2023 4:00 PM;-;9.64
Jan 2, 2023 4:00 PM;Jan 2, 2023 5:00 PM;-;9.92
Jan 2, 2023 5:00 PM;Jan 2, 2023 6:00 PM;-;9.92
Jan 2, 2023 6:00 PM;Jan 2, 2023 7:00 PM;-;9.92
Jan 2, 2023 7:00 PM;Jan 2, 2023 8:00 PM;-;9.92
Jan 2, 2023 8:00 PM;Jan 2, 2023 9:00 PM;-;12.96
Jan 2, 2023 9:00 PM;Jan 2, 2023 10:00 PM;-;12.96
Jan 2, 2023 10:00 PM;Jan 2, 2023 11:00 PM;-;12.96
Jan 2, 2023 11:00 PM;Jan 3, 2023 12:00 AM;-;12.96
Jan 3, 2023 12:00 AM;Jan 3, 2023 1:00 AM;-;20.52
Jan 3, 2023 1:00 AM;Jan 3, 2023 2:00 AM;-;20.52
Jan 3, 2023 2:00 AM;Jan 3, 2023 3:00 AM;-;20.52
Jan 3, 2023 3:00 AM;Jan 3, 2023 4:00 AM;-;20.52
Jan 3, 2023 4:00 AM;Jan 3, 2023 5:00 AM;-;22.76
Jan 3, 2023 5:00 AM;Jan 3, 2023 6:00 AM;-;22.76
Jan 3, 2023 6:00 AM;Jan 3, 2023 7:00 AM;-;22.76
Jan 3, 2023 7:00 AM;Jan 3, 2023 8:00 AM;-;22.76
Jan 3, 2023 8:00 AM;Jan 3, 2023 9:00 AM;-;9.28
Jan 3, 2023 9:00 AM;Jan 3, 2023 10:00 AM;-;9.28
Jan 3, 2023 10:00 AM;Jan 3, 2023 11:00 AM;-;9.28
Jan 3, 2023 11:00 AM;Jan 3, 2023 12:00 PM;-;9.28
Jan 3, 2023 12:00 PM;Jan 3, 2023 1:00 PM;-;7.92
Jan 3, 2023 1:00 PM;Jan 3, 2023 2:00 PM;-;7.92
Jan 3, 2023 2:00 PM;Jan 3, 2023 3:00 PM;-;7.92
Jan 3, 2023 3:00 PM;Jan 3, 2023 4:00 PM;-;7.92
Jan 3, 2023 4:00 PM;Jan 3, 2023 5:00 PM;-;11.24
Jan 3, 2023 5:00 PM;Jan 3, 2023 6:00 PM;-;11.24
Jan 3, 2023 6:00 PM;Jan 3, 2023 7:00 PM;-;11.24
Jan 3, 2023 7:00 PM;Jan 3, 2023 8:00 PM;-;11.24
Jan 3, 2023 8:00 PM;Jan 3, 2023 9:00 PM;-;16.84
Jan 3, 2023 9:00 PM;Jan 3, 2023 10:00 PM;-;16.84
Jan 3, 2023 10:00 PM;Jan 3, 2023 11:00 PM;-;16.84
Jan 3, 2023 11:00 PM;Jan 4, 2023 12:00 AM;-;16.84
Jan 4, 2023 12:00 AM;Jan 4, 2023 1:00 AM;-;37.44
Jan 4, 2023 1:00 AM;Jan 4, 2023 2:00 AM;-;37.44
Jan 4, 2023 2:00 AM;Jan 4, 2023 3:00 AM;-;37.44
Jan 4, 2023 3:00 AM;Jan 4, 2023 4:00 AM;-;37.44
Jan 4, 2023 4:00 AM;Jan 4, 2023 5:00 AM;-;39.84
Jan 4, 2023 5:00 AM;Jan 4, 2023 6:00 AM;-;39.84
Jan 4, 2023 6:00 AM;Jan 4, 2023 7:00 AM;-;39.84
Jan 4, 2023 7:00 AM;Jan 4, 2023 8:00 AM;-;39.84
Jan 4, 2023 8:00 AM;Jan 4, 2023 9:00 AM;-;21.92
Jan 4, 2023 9:00 AM;Jan 4, 2023 10:00 AM;-;21.92
Jan 4, 2023 10:00 AM;Jan 4, 2023 11:00 AM;-;21.92
Jan 4, 2023 11:00 AM;Jan 4, 2023 12:00 PM;-;21.92
