Start date;End date;Photovoltaics and wind [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;32,409.75;2,348.75;30,061.00;0.00
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;32,086.75;2,439.50;29,647.25;0.00
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;33,054.25;2,933.75;30,120.50;0.00
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;32,313.25;3,005.50;29,307.75;0.00
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;30,748.75;2,858.25;27,890.50;0.00
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;31,110.25;2,899.50;28,210.75;0.00
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;30,541.75;2,819.25;27,722.50;0.00
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;30,022.00;2,862.75;27,159.25;0.00
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;30,190.75;3,017.25;26,529.50;644.00
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;33,360.00;3,102.25;25,882.50;4,375.25
Jan 1, 2023 10:00 AM;Jan 1, 2023 11:00 AM;37,323.25;3,340.00;25,183.00;8,800.25
Jan 1, 2023 11:00 AM;Jan 1, 2023 12:00 PM;39,435.50;3,456.50;24,344.50;11,634.50
Jan 1, 2023 12:00 PM;Jan 1, 2023 1:00 PM;39,486.25;3,636.50;23,534.75;12,315.00
Jan 1, 2023 1:00 PM;Jan 1, 2023 2:00 PM;36,497.50;3,723.00;22,186.00;10,588.50
Jan 1, 2023 2:00 PM;Jan 1, 2023 3:00 PM;33,473.00;5,426.25;21,757.00;6,289.75
Jan 1, 2023 3:00 PM;Jan 1, 2023 4:00 PM;27,672.25;5,359.00;19,961.00;2,352.25
Jan 1, 2023 4:00 PM;Jan 1, 2023 5:00 PM;24,212.75;5,358.00;18,614.50;240.25
Jan 1, 2023 5:00 PM;Jan 1, 2023 6:00 PM;23,689.50;5,785.75;17,903.75;0.00
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;23,605.50;5,812.00;17,793.50;0.00
Jan 1, 2023 7:00 PM;Jan 1, 2023 8:00 PM;23,528.75;5,835.25;17,693.50;0.00
