Start date;End date;Volume activated (+) [MWh] Calculated resolutions;Volume activated (-) [MWh] Calculated resolutions;Activation price (+) [€/MWh] Calculated resolutions;Activation price (-) [€/MWh] Calculated resolutions;Volume procured (+) [MW] Calculated resolutions;Volume procured (-) [MW] Calculated resolutions;Procurement price (+) [€/MW] Calculated resolutions;Procurement price (-) [€/MW] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;-;-;-;-;977.00;356.00;0.24;6.64
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;-;-;-;-;977.00;355.00;0.24;6.64
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;-;-;-;-;977.00;355.00;0.24;6.64
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;-;-;-;-;977.00;355.00;0.24;6.64
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;-;-;-;-;1,019.00;366.00;0.32;6.68
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;-;-;-;-;1,019.00;366.00;0.32;6.68
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;-;-;-;-;1,019.00;366.00;0.32;6.68
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;-;-;-;-;1,019.00;366.00;0.32;6.68
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;-;-;-;-;883.00;406.00;1.08;10.88
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;-;-;-;-;883.00;406.00;1.08;10.88
Jan 1, 2023 10:00 AM;Jan 1, 2023 11:00 AM;-;-;-;-;883.00;406.00;1.08;10.88
Jan 1, 2023 11:00 AM;Jan 1, 2023 12:00 PM;-;-;-;-;883.00;406.00;1.08;10.88
Jan 1, 2023 12:00 PM;Jan 1, 2023 1:00 PM;-;-;-;-;814.00;401.00;0.44;11.28
Jan 1, 2023 1:00 PM;Jan 1, 2023 2:00 PM;-;-;-;-;821.00;398.00;0.44;11.28
Jan 1, 2023 2:00 PM;Jan 1, 2023 3:00 PM;-;-;-;-;814.00;398.00;0.44;11.28
Jan 1, 2023 3:00 PM;Jan 1, 2023 4:00 PM;-;-;-;-;814.00;398.00;0.44;11.28
Jan 1, 2023 4:00 PM;Jan 1, 2023 5:00 PM;-;-;-;-;921.00;430.00;2.92;10.36
Jan 1, 2023 5:00 PM;Jan 1, 2023 6:00 PM;-;-;-;-;921.00;430.00;2.92;10.36
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;-;-;-;-;921.00;430.00;2.92;10.36
Jan 1, 2023 7:00 PM;Jan 1, 2023 8:00 PM;-;-;-;-;921.00;430.00;2.92;10.36
Jan 1, 2023 8:00 PM;Jan 1, 2023 9:00 PM;-;-;-;-;888.00;383.00;0.36;8.20
Jan 1, 2023 9:00 PM;Jan 1, 2023 10:00 PM;-;-;-;-;888.00;383.00;0.36;8.20
Jan 1, 2023 10:00 PM;Jan 1, 2023 11:00 PM;-;-;-;-;888.00;383.00;0.36;8.20
Jan 1, 2023 11:00 PM;Jan 2, 2023 12:00 AM;-;-;-;-;888.00;383.00;0.36;8.20
Jan 2, 2023 12:00 AM;Jan 2, 2023 1:00 AM;-;-;-;-;1,025.00;369.00;0.28;6.56
Jan 2, 2023 1:00 AM;Jan 2, 2023 2:00 AM;-;-;-;-;1,025.00;369.00;0.28;6.56
Jan 2, 2023 2:00 AM;Jan 2, 2023 3:00 AM;-;-;-;-;1,025.00;369.00;0.28;6.56
Jan 2, 2023 3:00 AM;Jan 2, 2023 4:00 AM;-;-;-;-;1,025.00;369.00;0.28;6.56
Jan 2, 2023 4:00 AM;Jan 2, 2023 5:00 AM;-;-;-;-;901.00;404.00;0.48;18.52
Jan 2, 2023 5:00 AM;Jan 2, 2023 6:00 AM;-;-;-;-;901.00;404.00;0.48;18.52
Jan 2, 2023 6:00 AM;Jan 2, 2023 7:00 AM;-;-;-;-;901.00;404.00;0.48;18.52
Jan 2, 2023 7:00 AM;Jan 2, 2023 8:00 AM;-;-;-;-;901.00;404.00;0.48;18.52
Jan 2, 2023 8:00 AM;Jan 2, 2023 9:00 AM;-;-;-;-;965.00;430.00;1.68;7.48
Jan 2, 2023 9:00 AM;Jan 2, 2023 10:00 AM;-;-;-;-;965.00;425.00;1.68;7.48
Jan 2, 2023 10:00 AM;Jan 2, 2023 11:00 AM;-;-;-;-;965.00;425.00;1.68;7.48
Jan 2, 2023 11:00 AM;Jan 2, 2023 12:00 PM;-;-;-;-;965.00;425.00;1.68;7.48
Jan 2, 2023 12:00 PM;Jan 2, 2023 1:00 PM;-;-;-;-;824.00;363.00;0.76;6.28
Jan 2, 2023 1:00 PM;Jan 2, 2023 2:00 PM;-;-;-;-;864.00;363.00;0.76;6.28
Jan 2, 2023 2:00 PM;Jan 2, 2023 3:00 PM;-;-;-;-;824.00;363.00;0.76;6.28
Jan 2, 2023 3:00 PM;Jan 2, 2023 4:00 PM;-;-;-;-;824.00;363.00;0.76;6.28
Jan 2, 2023 4:00 PM;Jan 2, 2023 5:00 PM;-;-;-;-;798.00;460.00;4.68;4.68
Jan 2, 2023 5:00 PM;Jan 2, 2023 6:00 PM;-;-;-;-;798.00;460.00;4.68;4.68
Jan 2, 2023 6:00 PM;Jan 2, 2023 7:00 PM;-;-;-;-;798.00;460.00;4.68;4.68
Jan 2, 2023 7:00 PM;Jan 2, 2023 8:00 PM;-;-;-;-;798.00;460.00;4.68;4.68
Jan 2, 2023 8:00 PM;Jan 2, 2023 9:00 PM;-;-;-;-;684.00;393.00;0.44;6.92
Jan 2, 2023 9:00 PM;Jan 2, 2023 10:00 PM;-;-;-;-;684.00;393.00;0.44;6.92
Jan 2, 2023 10:00 PM;Jan 2, 2023 11:00 PM;-;-;-;-;684.00;393.00;0.44;6.92
Jan 2, 2023 11:00 PM;Jan 3, 2023 12:00 AM;-;-;-;-;684.00;393.00;0.44;6.92
Jan 3, 2023 12:00 AM;Jan 3, 2023 1:00 AM;-;-;-;-;879.00;377.00;0.28;7.60
Jan 3, 2023 1:00 AM;Jan 3, 2023 2:00 AM;-;-;-;-;869.00;377.00;0.28;7.60
Jan 3, 2023 2:00 AM;Jan 3, 2023 3:00 AM;-;-;-;-;869.00;377.00;0.28;7.60
Jan 3, 2023 3:00 AM;Jan 3, 2023 4:00 AM;-;-;-;-;869.00;377.00;0.28;7.60
Jan 3, 2023 4:00 AM;Jan 3, 2023 5:00 AM;-;-;-;-;686.00;476.00;0.48;6.84
Jan 3, 2023 5:00 AM;Jan 3, 2023 6:00 AM;-;-;-;-;686.00;471.00;0.48;6.84
Jan 3, 2023 6:00 AM;Jan 3, 2023 7:00 AM;-;-;-;-;686.00;471.00;0.48;6.84
Jan 3, 2023 7:00 AM;Jan 3, 2023 8:00 AM;-;-;-;-;686.00;471.00;0.48;6.84
Jan 3, 2023 8:00 AM;Jan 3, 2023 9:00 AM;-;-;-;-;841.00;525.00;1.84;2.88
Jan 3, 2023 9:00 AM;Jan 3, 2023 10:00 AM;-;-;-;-;841.00;525.00;1.84;2.88
Jan 3, 2023 10:00 AM;Jan 3, 2023 11:00 AM;-;-;-;-;841.00;525.00;1.84;2.88
Jan 3, 2023 11:00 AM;Jan 3, 2023 12:00 PM;-;-;-;-;841.00;575.00;1.84;2.88
Jan 3, 2023 12:00 PM;Jan 3, 2023 1:00 PM;-;-;-;-;830.00;553.00;0.76;2.08
Jan 3, 2023 1:00 PM;Jan 3, 2023 2:00 PM;-;-;-;-;830.00;553.00;0.76;2.08
Jan 3, 2023 2:00 PM;Jan 3, 2023 3:00 PM;-;-;-;-;830.00;553.00;0.76;2.08
Jan 3, 2023 3:00 PM;Jan 3, 2023 4:00 PM;-;-;-;-;830.00;553.00;0.76;2.08
Jan 3, 2023 4:00 PM;Jan 3, 2023 5:00 PM;-;-;-;-;683.00;527.00;4.72;1.60
Jan 3, 2023 5:00 PM;Jan 3, 2023 6:00 PM;-;-;-;-;683.00;527.00;4.72;1.60
Jan 3, 2023 6:00 PM;Jan 3, 2023 7:00 PM;-;-;-;-;683.00;527.00;4.72;1.60
Jan 3, 2023 7:00 PM;Jan 3, 2023 8:00 PM;-;-;-;-;683.00;527.00;4.72;1.60
Jan 3, 2023 8:00 PM;Jan 3, 2023 9:00 PM;-;-;-;-;876.00;397.00;0.52;3.92
Jan 3, 2023 9:00 PM;Jan 3, 2023 10:00 PM;-;-;-;-;857.00;397.00;0.52;3.92
Jan 3, 2023 10:00 PM;Jan 3, 2023 11:00 PM;-;-;-;-;857.00;397.00;0.52;3.92
Jan 3, 2023 11:00 PM;Jan 4, 2023 12:00 AM;-;-;-;-;857.00;397.00;0.52;3.92
Jan 4, 2023 12:00 AM;Jan 4, 2023 1:00 AM;-;-;-;-;872.00;430.00;0.24;11.32
Jan 4, 2023 1:00 AM;Jan 4, 2023 2:00 AM;-;-;-;-;862.00;416.00;0.24;11.32
Jan 4, 2023 2:00 AM;Jan 4, 2023 3:00 AM;-;-;-;-;862.00;416.00;0.24;11.32
Jan 4, 2023 3:00 AM;Jan 4, 2023 4:00 AM;-;-;-;-;862.00;416.00;0.24;11.32
Jan 4, 2023 4:00 AM;Jan 4, 2023 5:00 AM;-;-;-;-;690.00;367.00;0.40;13.36
Jan 4, 2023 5:00 AM;Jan 4, 2023 6:00 AM;-;-;-;-;690.00;367.00;0.40;13.36
Jan 4, 2023 6:00 AM;Jan 4, 2023 7:00 AM;-;-;-;-;690.00;437.00;0.40;13.36
Jan 4, 2023 7:00 AM;Jan 4, 2023 8:00 AM;-;-;-;-;690.00;437.00;0.40;13.36
Jan 4, 2023 8:00 AM;Jan 4, 2023 9:00 AM;-;-;-;-;826.00;413.00;2.04;3.68
Jan 4, 2023 9:00 AM;Jan 4, 2023 10:00 AM;-;-;-;-;825.00;413.00;2.04;3.68
Jan 4, 2023 10:00 AM;Jan 4, 2023 11:00 AM;-;-;-;-;825.00;413.00;2.04;3.68
Jan 4, 2023 11:00 AM;Jan 4, 2023 12:00 PM;-;-;-;-;825.00;413.00;2.04;3.68
Jan 4, 2023 12:00 PM;Jan 4, 2023 1:00 PM;-;-;-;-;823.00;426.00;0.72;2.88
Jan 4, 2023 1:00 PM;Jan 4, 2023 2:00 PM;-;-;-;-;823.00;421.00;0.72;2.88
Jan 4, 2023 2:00 PM;Jan 4, 2023 3:00 PM;-;-;-;-;823.00;421.00;0.72;2.88
Jan 4, 2023 3:00 PM;Jan 4, 2023 4:00 PM;-;-;-;-;823.00;421.00;0.72;2.88
Jan 4, 2023 4:00 PM;Jan 4, 2023 5:00 PM;-;-;-;-;779.00;423.00;4.44;1.96
Jan 4, 2023 5:00 PM;Jan 4, 2023 6:00 PM;-;-;-;-;776.00;413.00;4.44;1.96
Jan 4, 2023 6:00 PM;Jan 4, 2023 7:00 PM;-;-;-;-;776.00;418.00;4.44;1.96
Jan 4, 2023 7:00 PM;Jan 4, 2023 8:00 PM;-;-;-;-;776.00;423.00;4.44;1.96
Jan 4, 2023 8:00 PM;Jan 4, 2023 9:00 PM;-;-;-;-;597.00;451.00;0.40;4.64
Jan 4, 2023 9:00 PM;Jan 4, 2023 10:00 PM;-;-;-;-;597.00;451.00;0.40;4.64
Jan 4, 2023 10:00 PM;Jan 4, 2023 11:00 PM;-;-;-;-;597.00;451.00;0.40;4.64
Jan 4, 2023 11:00 PM;Jan 5, 2023 12:00 AM;-;-;-;-;597.00;381.00;0.40;4.64
Jan 5, 2023 12:00 AM;Jan 5, 2023 1:00 AM;-;-;-;-;914.00;395.00;0.24;13.76
Jan 5, 2023 1:00 AM;Jan 5, 2023 2:00 AM;-;-;-;-;902.00;386.00;0.24;13.76
Jan 5, 2023 2:00 AM;Jan 5, 2023 3:00 AM;-;-;-;-;902.00;395.00;0.24;13.76
Jan 5, 2023 3:00 AM;Jan 5, 2023 4:00 AM;-;-;-;-;902.00;395.00;0.24;13.76
Jan 5, 2023 4:00 AM;Jan 5, 2023 5:00 AM;-;-;-;-;788.00;387.00;0.36;21.84
Jan 5, 2023 5:00 AM;Jan 5, 2023 6:00 AM;-;-;-;-;788.00;387.00;0.36;21.84
Jan 5, 2023 6:00 AM;Jan 5, 2023 7:00 AM;-;-;-;-;788.00;378.00;0.36;21.84
Jan 5, 2023 7:00 AM;Jan 5, 2023 8:00 AM;-;-;-;-;788.00;387.00;0.36;21.84
Jan 5, 2023 8:00 AM;Jan 5, 2023 9:00 AM;-;-;-;-;885.00;532.00;1.56;2.44
Jan 5, 2023 9:00 AM;Jan 5, 2023 10:00 AM;-;-;-;-;885.00;523.00;1.56;2.44
Jan 5, 2023 10:00 AM;Jan 5, 2023 11:00 AM;-;-;-;-;885.00;519.00;1.56;2.44
Jan 5, 2023 11:00 AM;Jan 5, 2023 12:00 PM;-;-;-;-;885.00;523.00;1.56;2.44
Jan 5, 2023 12:00 PM;Jan 5, 2023 1:00 PM;-;-;-;-;821.00;516.00;0.68;1.88
Jan 5, 2023 1:00 PM;Jan 5, 2023 2:00 PM;-;-;-;-;811.00;516.00;0.68;1.88
Jan 5, 2023 2:00 PM;Jan 5, 2023 3:00 PM;-;-;-;-;811.00;517.00;0.68;1.88
Jan 5, 2023 3:00 PM;Jan 5, 2023 4:00 PM;-;-;-;-;811.00;516.00;0.68;1.88
Jan 5, 2023 4:00 PM;Jan 5, 2023 5:00 PM;-;-;-;-;702.00;478.00;5.12;1.28
Jan 5, 2023 5:00 PM;Jan 5, 2023 6:00 PM;-;-;-;-;702.00;478.00;5.12;1.28
Jan 5, 2023 6:00 PM;Jan 5, 2023 7:00 PM;-;-;-;-;702.00;478.00;5.12;1.28
Jan 5, 2023 7:00 PM;Jan 5, 2023 8:00 PM;-;-;-;-;702.00;478.00;5.12;1.28
Jan 5, 2023 8:00 PM;Jan 5, 2023 9:00 PM;-;-;-;-;817.00;488.00;0.56;3.28
Jan 5, 2023 9:00 PM;Jan 5, 2023 10:00 PM;-;-;-;-;804.00;488.00;0.56;3.28
Jan 5, 2023 10:00 PM;Jan 5, 2023 11:00 PM;-;-;-;-;804.00;488.00;0.56;3.28
Jan 5, 2023 11:00 PM;Jan 6, 2023 12:00 AM;-;-;-;-;804.00;488.00;0.56;3.28
Jan 6, 2023 12:00 AM;Jan 6, 2023 1:00 AM;-;-;-;-;963.00;375.00;0.20;7.88
Jan 6, 2023 1:00 AM;Jan 6, 2023 2:00 AM;-;-;-;-;963.00;375.00;0.20;7.88
Jan 6, 2023 2:00 AM;Jan 6, 2023 3:00 AM;-;-;-;-;963.00;375.00;0.20;7.88
Jan 6, 2023 3:00 AM;Jan 6, 2023 4:00 AM;-;-;-;-;963.00;375.00;0.20;7.88
Jan 6, 2023 4:00 AM;Jan 6, 2023 5:00 AM;-;-;-;-;806.00;402.00;0.28;11.72
Jan 6, 2023 5:00 AM;Jan 6, 2023 6:00 AM;-;-;-;-;806.00;402.00;0.28;11.72
Jan 6, 2023 6:00 AM;Jan 6, 2023 7:00 AM;-;-;-;-;806.00;402.00;0.28;11.72
Jan 6, 2023 7:00 AM;Jan 6, 2023 8:00 AM;-;-;-;-;806.00;402.00;0.28;11.72
Jan 6, 2023 8:00 AM;Jan 6, 2023 9:00 AM;-;-;-;-;837.00;503.00;1.20;1.76
Jan 6, 2023 9:00 AM;Jan 6, 2023 10:00 AM;-;-;-;-;837.00;488.00;1.20;1.76
Jan 6, 2023 10:00 AM;Jan 6, 2023 11:00 AM;-;-;-;-;837.00;488.00;1.20;1.76
Jan 6, 2023 11:00 AM;Jan 6, 2023 12:00 PM;-;-;-;-;837.00;488.00;1.20;1.76
Jan 6, 2023 12:00 PM;Jan 6, 2023 1:00 PM;-;-;-;-;814.00;487.00;0.48;1.44
