Start date;End date;Net export [MWh] Calculated resolutions;Netherlands (export) [MWh] Calculated resolutions;Netherlands (import) [MWh] Calculated resolutions;Switzerland (export) [MWh] Calculated resolutions;Switzerland (import) [MWh] Calculated resolutions;Denmark (export) [MWh] Calculated resolutions;Denmark (import) [MWh] Calculated resolutions;Czech Republic (export) [MWh] Calculated resolutions;Czech Republic (import) [MWh] Calculated resolutions;Luxembourg (export) [MWh] Calculated resolutions;Luxembourg (import) [MWh] Calculated resolutions;Sweden (export) [MWh] Calculated resolutions;Sweden (import) [MWh] Calculated resolutions;Austria (export) [MWh] Calculated resolutions;Austria (import) [MWh] Calculated resolutions;France (export) [MWh] Calculated resolutions;France (import) [MWh] Calculated resolutions;Poland (export) [MWh] Calculated resolutions;Poland (import) [MWh] Calculated resolutions;Norway (export) [MWh] Calculated resolutions;Norway (import) [MWh] Calculated resolutions;Belgium (export) [MWh] Calculated resolutions;Belgium (import) [MWh] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;12,557.67;1,515.20;-663.00;791.96;0.00;3,068.00;-371.90;62.00;0.00;335.26;0.00;519.00;0.00;2,188.10;0.00;3,439.95;0.00;25.70;-5.70;1,289.00;0.00;364.10;0.00
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;15,382.58;2,004.60;-380.00;799.22;0.00;3,004.60;-435.60;709.50;-41.80;319.71;0.00;519.00;0.00;2,893.45;0.00;5,474.20;0.00;757.60;-23.50;1,289.00;0.00;505.58;-2,012.98
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;16,357.49;1,118.85;-659.25;791.19;0.00;3,100.40;-563.20;750.40;-51.20;306.35;0.00;519.00;0.00;2,946.58;0.00;4,549.00;0.00;821.30;-38.50;1,300.00;0.00;1,529.75;-63.18
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;14,005.92;1,180.65;-1,011.00;702.68;0.00;3,018.40;-282.80;507.90;0.00;301.31;0.00;519.00;0.00;2,671.18;0.00;4,065.40;0.00;464.80;0.00;1,300.00;0.00;1,286.40;-718.00
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;14,544.01;404.30;-436.50;641.78;0.00;3,064.40;-518.20;790.20;-12.60;298.37;0.00;519.00;0.00;3,043.98;0.00;3,406.50;0.00;835.70;-10.30;1,309.00;0.00;2,490.55;-1,282.18
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;13,634.02;824.45;-997.25;789.48;0.00;3,171.70;-494.40;402.40;0.00;305.12;0.00;519.00;0.00;2,560.50;0.00;4,738.50;0.00;373.30;0.00;1,318.00;0.00;747.55;-624.33
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;13,734.52;197.40;-379.50;595.29;0.00;3,077.50;-504.30;645.70;-42.00;291.68;0.00;519.00;0.00;2,836.15;0.00;4,272.40;0.00;690.20;-150.80;1,376.00;0.00;2,023.23;-1,713.43
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;14,820.02;1,140.30;-1,038.75;795.77;0.00;3,116.30;-491.40;443.60;-20.70;305.47;0.00;519.00;0.00;2,521.65;0.00;5,594.10;0.00;606.00;-1.80;1,396.00;0.00;242.00;-307.53
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;12,876.43;912.45;-1,041.25;771.71;0.00;3,236.50;-825.00;325.70;-32.80;319.72;0.00;519.00;0.00;2,431.50;0.00;4,619.40;0.00;508.10;-49.20;1,376.00;0.00;224.83;-420.22
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;13,778.21;1,248.05;-1,447.25;760.38;0.00;3,213.20;-628.10;278.00;0.00;283.91;0.00;519.00;0.00;2,093.10;0.00;5,621.70;0.00;525.10;0.00;1,357.00;0.00;205.85;-251.73
